"__export__.openerp_enterprise_trial_log_60068_f2568d50","2018-10-25 14:32:56",":crm:sale_management:"
"__export__.openerp_enterprise_trial_log_60083_81b34e72","2018-10-25 14:41:32",":sale_management:account:"
"__export__.openerp_enterprise_trial_log_60092_605e7372","2018-10-25 14:50:42",":crm:account:point_of_sale:sign:account_accountant:timesheet_grid:stock:purchase:website:hr:hr_recruitment:hr_holidays:hr_expense:hr_appraisal:web_studio:"
"__export__.openerp_enterprise_trial_log_60100_60d374fa","2018-10-25 14:56:49",":sale_management:account:account_accountant:web_studio:"
"__export__.openerp_enterprise_trial_log_60101_a116669a","2018-10-25 14:56:50",":mass_mailing:website_mass_mailing:"
"__export__.openerp_enterprise_trial_log_60108_5e1f66aa","2018-10-25 14:59:57",":crm:sale_management:account:web_studio:"
"__export__.openerp_enterprise_trial_log_60111_a3705dd1","2018-10-25 15:04:20",":crm:sale_management:account:sign:account_accountant:project:timesheet_grid:stock:purchase:mrp:mrp_plm:hr:hr_expense:"
"__export__.openerp_enterprise_trial_log_60112_e7363d1d","2018-10-25 15:05:01",":crm:account:account_accountant:project:website:website_sale:website_livechat:mass_mailing:website_mass_mailing:hr:hr_recruitment:hr_holidays:hr_expense:"
"__export__.openerp_enterprise_trial_log_60122_c60ce570","2018-10-25 15:10:47",":sale_management:account:account_accountant:stock:purchase:"
"__export__.openerp_enterprise_trial_log_60131_e6e9e408","2018-10-25 15:15:23",":crm:sale_management:account:point_of_sale:sign:sale_subscription:account_accountant:project:timesheet_grid:stock:purchase:mass_mailing:marketing_automation:website_calendar:website_mass_mailing:hr:hr_recruitment:hr_holidays:hr_expense:hr_appraisal:fleet:"
"__export__.openerp_enterprise_trial_log_60139_40c5e24c","2018-10-25 15:18:50",":sale_management:account:account_accountant:timesheet_grid:helpdesk:purchase:maintenance:repair:website:website_sale:mass_mailing:hr_expense:"
"__export__.openerp_enterprise_trial_log_60140_5b07537c","2018-10-25 15:19:06",":crm:sale_management:account:sign:project:mass_mailing:marketing_automation:web_studio:"
